# G8 closed-world candidate ledger: every row is an explicit retained/removed disposition.
# Frozen G7 rows are copied by ID and disposition; G8 additions are finite named candidates.
id	category	specifier-or-source	current_consumer_reachability	compatibility_proof	qa_proof	future_rung	recreation_cheaper_than_retention	decision_evidence	final_status
dependency:collab-electron/package.json#devDependencies#tailwindcss	g7-dependency	4.2.0	retained declaration root or accepted removed closure	G7 accepted disposition and compatibility closure	golden-g7-protocol-dependencies	G7 closure; G8 does not reopen this boundary	false	G7-RETAIN-DEPENDENCY	retained
dependency:collab-electron/package.json#devDependencies#tsx	g7-dependency	^4.20.3	retained declaration root or accepted removed closure	G7 accepted disposition and compatibility closure	golden-g7-protocol-dependencies	G7 closure; G8 does not reopen this boundary	false	G7-RETAIN-DEPENDENCY	retained
dependency:collab-electron/package.json#devDependencies#use-stick-to-bottom	g7-dependency	1.1.3	retained declaration root or accepted removed closure	G7 accepted disposition and compatibility closure	golden-g7-protocol-dependencies	G7 closure; G8 does not reopen this boundary	true	G7-REMOVE-DEPENDENCY	removed
dependency:collab-electron/package.json#optionalDependencies#@img/sharp-darwin-arm64	g7-dependency	0.34.5	retained declaration root or accepted removed closure	G7 accepted disposition and compatibility closure	golden-g7-protocol-dependencies	G7 closure; G8 does not reopen this boundary	false	G7-RETAIN-DEPENDENCY	retained
dependency:collab-electron/package.json#optionalDependencies#@img/sharp-darwin-x64	g7-dependency	0.34.5	retained declaration root or accepted removed closure	G7 accepted disposition and compatibility closure	golden-g7-protocol-dependencies	G7 closure; G8 does not reopen this boundary	false	G7-RETAIN-DEPENDENCY	retained
dependency:collab-electron/package.json#optionalDependencies#@img/sharp-libvips-darwin-arm64	g7-dependency	1.2.4	retained declaration root or accepted removed closure	G7 accepted disposition and compatibility closure	golden-g7-protocol-dependencies	G7 closure; G8 does not reopen this boundary	false	G7-RETAIN-DEPENDENCY	retained
dependency:collab-electron/package.json#optionalDependencies#@img/sharp-libvips-darwin-x64	g7-dependency	1.2.4	retained declaration root or accepted removed closure	G7 accepted disposition and compatibility closure	golden-g7-protocol-dependencies	G7 closure; G8 does not reopen this boundary	false	G7-RETAIN-DEPENDENCY	retained
dependency:collab-electron/package.json#optionalDependencies#@img/sharp-libvips-linux-x64	g7-dependency	1.2.4	retained declaration root or accepted removed closure	G7 accepted disposition and compatibility closure	golden-g7-protocol-dependencies	G7 closure; G8 does not reopen this boundary	false	G7-RETAIN-DEPENDENCY	retained
dependency:collab-electron/package.json#optionalDependencies#@img/sharp-linux-x64	g7-dependency	0.34.5	retained declaration root or accepted removed closure	G7 accepted disposition and compatibility closure	golden-g7-protocol-dependencies	G7 closure; G8 does not reopen this boundary	false	G7-RETAIN-DEPENDENCY	retained
dependency:collab-electron/package.json#optionalDependencies#@parcel/watcher-darwin-arm64	g7-dependency	2.5.6	retained declaration root or accepted removed closure	G7 accepted disposition and compatibility closure	golden-g7-protocol-dependencies	G7 closure; G8 does not reopen this boundary	false	G7-RETAIN-DEPENDENCY	retained
dependency:collab-electron/package.json#optionalDependencies#@parcel/watcher-darwin-x64	g7-dependency	2.5.6	retained declaration root or accepted removed closure	G7 accepted disposition and compatibility closure	golden-g7-protocol-dependencies	G7 closure; G8 does not reopen this boundary	false	G7-RETAIN-DEPENDENCY	retained
dependency:packages/qf-kernel/package.json#dependencies#qf-kernel-schema	g7-dependency	file:../../qf-kernel-schema	retained declaration root or accepted removed closure	G7 accepted disposition and compatibility closure	golden-g7-protocol-dependencies	G7 closure; G8 does not reopen this boundary	false	G7-RETAIN-DEPENDENCY	retained
dependency:packages/qf-kernel/package.json#dependencies#zod	g7-dependency	^4.4.3	retained declaration root or accepted removed closure	G7 accepted disposition and compatibility closure	golden-g7-protocol-dependencies	G7 closure; G8 does not reopen this boundary	false	G7-RETAIN-DEPENDENCY	retained
dependency:packages/qf-kernel/package.json#devDependencies#@types/bun	g7-dependency	^1.3.14	retained declaration root or accepted removed closure	G7 accepted disposition and compatibility closure	golden-g7-protocol-dependencies	G7 closure; G8 does not reopen this boundary	false	G7-RETAIN-DEPENDENCY	retained
dependency:packages/qf-kernel/package.json#devDependencies#typescript	g7-dependency	^5.9.3	retained declaration root or accepted removed closure	G7 accepted disposition and compatibility closure	golden-g7-protocol-dependencies	G7 closure; G8 does not reopen this boundary	false	G7-RETAIN-DEPENDENCY	retained
dependency:qa/fixtures/lifecycle-command/package.json#devDependencies#typescript	g7-dependency	5.9.3	retained declaration root or accepted removed closure	G7 accepted disposition and compatibility closure	golden-g7-protocol-dependencies	G7 closure; G8 does not reopen this boundary	false	G7-RETAIN-DEPENDENCY	retained
dependency:qa/gates/artifact-root/package.json#dependencies#qf-kernel	g7-dependency	file:../../../packages/qf-kernel	retained declaration root or accepted removed closure	G7 accepted disposition and compatibility closure	golden-g7-protocol-dependencies	G7 closure; G8 does not reopen this boundary	false	G7-RETAIN-DEPENDENCY	retained
dependency:qa/gates/artifact-root/package.json#devDependencies#@types/bun	g7-dependency	^1.3.14	retained declaration root or accepted removed closure	G7 accepted disposition and compatibility closure	golden-g7-protocol-dependencies	G7 closure; G8 does not reopen this boundary	false	G7-RETAIN-DEPENDENCY	retained
dependency:qa/gates/boot-reconcile/package.json#dependencies#qf-kernel	g7-dependency	file:../../../packages/qf-kernel	retained declaration root or accepted removed closure	G7 accepted disposition and compatibility closure	golden-g7-protocol-dependencies	G7 closure; G8 does not reopen this boundary	false	G7-RETAIN-DEPENDENCY	retained
dependency:qa/gates/boot-reconcile/package.json#devDependencies#@types/bun	g7-dependency	^1.3.14	retained declaration root or accepted removed closure	G7 accepted disposition and compatibility closure	golden-g7-protocol-dependencies	G7 closure; G8 does not reopen this boundary	false	G7-RETAIN-DEPENDENCY	retained
dependency:qa/gates/bovada-football/package.json#dependencies#qf-bovada-football	g7-dependency	file:../../../tools/qf-bovada-football	retained declaration root or accepted removed closure	G7 accepted disposition and compatibility closure	golden-g7-protocol-dependencies	G7 closure; G8 does not reopen this boundary	false	G7-RETAIN-DEPENDENCY	retained
dependency:qa/gates/bovada-football/package.json#dependencies#qf-kernel	g7-dependency	file:../../../packages/qf-kernel	retained declaration root or accepted removed closure	G7 accepted disposition and compatibility closure	golden-g7-protocol-dependencies	G7 closure; G8 does not reopen this boundary	false	G7-RETAIN-DEPENDENCY	retained
dependency:qa/gates/bovada-football/package.json#dependencies#qf-kernel-schema	g7-dependency	file:../../../qf-kernel-schema	retained declaration root or accepted removed closure	G7 accepted disposition and compatibility closure	golden-g7-protocol-dependencies	G7 closure; G8 does not reopen this boundary	false	G7-RETAIN-DEPENDENCY	retained
dependency:qa/gates/bovada-football/package.json#devDependencies#@types/bun	g7-dependency	^1.3.14	retained declaration root or accepted removed closure	G7 accepted disposition and compatibility closure	golden-g7-protocol-dependencies	G7 closure; G8 does not reopen this boundary	false	G7-RETAIN-DEPENDENCY	retained
dependency:qa/gates/bovada-football/package.json#devDependencies#typescript	g7-dependency	^5.9.3	retained declaration root or accepted removed closure	G7 accepted disposition and compatibility closure	golden-g7-protocol-dependencies	G7 closure; G8 does not reopen this boundary	false	G7-RETAIN-DEPENDENCY	retained
dependency:qa/gates/dock-definition-launch/package.json#dependencies#qf-kernel	g7-dependency	file:../../../packages/qf-kernel	retained declaration root or accepted removed closure	G7 accepted disposition and compatibility closure	golden-g7-protocol-dependencies	G7 closure; G8 does not reopen this boundary	false	G7-RETAIN-DEPENDENCY	retained
dependency:qa/gates/dock-profile-identity/package.json#dependencies#qf-kernel	g7-dependency	file:../../../packages/qf-kernel	retained declaration root or accepted removed closure	G7 accepted disposition and compatibility closure	golden-g7-protocol-dependencies	G7 closure; G8 does not reopen this boundary	false	G7-RETAIN-DEPENDENCY	retained
dependency:qa/gates/dock-profile-identity/package.json#dependencies#qf-kernel-schema	g7-dependency	file:../../../qf-kernel-schema	retained declaration root or accepted removed closure	G7 accepted disposition and compatibility closure	golden-g7-protocol-dependencies	G7 closure; G8 does not reopen this boundary	false	G7-RETAIN-DEPENDENCY	retained
dependency:qa/gates/dock-profile-identity/package.json#dependencies#typescript	g7-dependency	5.9.3	retained declaration root or accepted removed closure	G7 accepted disposition and compatibility closure	golden-g7-protocol-dependencies	G7 closure; G8 does not reopen this boundary	false	G7-RETAIN-DEPENDENCY	retained
dependency:qa/gates/kernel-drift/package.json#dependencies#qf-kernel	g7-dependency	file:../../../packages/qf-kernel	retained declaration root or accepted removed closure	G7 accepted disposition and compatibility closure	golden-g7-protocol-dependencies	G7 closure; G8 does not reopen this boundary	false	G7-RETAIN-DEPENDENCY	retained
dependency:qa/gates/kernel-drift/package.json#devDependencies#@types/bun	g7-dependency	^1.3.14	retained declaration root or accepted removed closure	G7 accepted disposition and compatibility closure	golden-g7-protocol-dependencies	G7 closure; G8 does not reopen this boundary	false	G7-RETAIN-DEPENDENCY	retained
dependency:qa/gates/market-ingest/package.json#dependencies#qf-kernel	g7-dependency	file:../../../packages/qf-kernel	retained declaration root or accepted removed closure	G7 accepted disposition and compatibility closure	golden-g7-protocol-dependencies	G7 closure; G8 does not reopen this boundary	false	G7-RETAIN-DEPENDENCY	retained
dependency:qa/gates/market-ingest/package.json#devDependencies#@types/bun	g7-dependency	^1.3.14	retained declaration root or accepted removed closure	G7 accepted disposition and compatibility closure	golden-g7-protocol-dependencies	G7 closure; G8 does not reopen this boundary	false	G7-RETAIN-DEPENDENCY	retained
dependency:qf-kernel-schema/package.json#dependencies#zod	g7-dependency	^4.4.3	retained declaration root or accepted removed closure	G7 accepted disposition and compatibility closure	golden-g7-protocol-dependencies	G7 closure; G8 does not reopen this boundary	false	G7-RETAIN-DEPENDENCY	retained
dependency:qf-kernel-schema/package.json#devDependencies#@types/bun	g7-dependency	^1.3.14	retained declaration root or accepted removed closure	G7 accepted disposition and compatibility closure	golden-g7-protocol-dependencies	G7 closure; G8 does not reopen this boundary	false	G7-RETAIN-DEPENDENCY	retained
dependency:qf-kernel-schema/package.json#devDependencies#typescript	g7-dependency	^5.9.3	retained declaration root or accepted removed closure	G7 accepted disposition and compatibility closure	golden-g7-protocol-dependencies	G7 closure; G8 does not reopen this boundary	false	G7-RETAIN-DEPENDENCY	retained
dependency:species/hermes/package.json#dependencies#@agentclientprotocol/sdk	g7-dependency	0.18.2	retained declaration root or accepted removed closure	G7 accepted disposition and compatibility closure	golden-g7-protocol-dependencies	G7 closure; G8 does not reopen this boundary	false	G7-RETAIN-DEPENDENCY	retained
dependency:species/hermes/package.json#dependencies#qf-kernel	g7-dependency	file:../../packages/qf-kernel	retained declaration root or accepted removed closure	G7 accepted disposition and compatibility closure	golden-g7-protocol-dependencies	G7 closure; G8 does not reopen this boundary	false	G7-RETAIN-DEPENDENCY	retained
dependency:species/hermes/package.json#devDependencies#@types/bun	g7-dependency	^1.3.14	retained declaration root or accepted removed closure	G7 accepted disposition and compatibility closure	golden-g7-protocol-dependencies	G7 closure; G8 does not reopen this boundary	false	G7-RETAIN-DEPENDENCY	retained
dependency:tools/qf-bovada-football/package.json#dependencies#qf-kernel	g7-dependency	file:../../packages/qf-kernel	retained declaration root or accepted removed closure	G7 accepted disposition and compatibility closure	golden-g7-protocol-dependencies	G7 closure; G8 does not reopen this boundary	false	G7-RETAIN-DEPENDENCY	retained
dependency:tools/qf-bovada-football/package.json#devDependencies#@types/bun	g7-dependency	^1.3.14	retained declaration root or accepted removed closure	G7 accepted disposition and compatibility closure	golden-g7-protocol-dependencies	G7 closure; G8 does not reopen this boundary	false	G7-RETAIN-DEPENDENCY	retained
dependency:tools/qf-bovada-football/package.json#devDependencies#typescript	g7-dependency	^5.9.3	retained declaration root or accepted removed closure	G7 accepted disposition and compatibility closure	golden-g7-protocol-dependencies	G7 closure; G8 does not reopen this boundary	false	G7-RETAIN-DEPENDENCY	retained
dependency:tools/qf-read-tools/package.json#dependencies#@modelcontextprotocol/sdk	g7-dependency	^1.29.0	retained declaration root or accepted removed closure	G7 accepted disposition and compatibility closure	golden-g7-protocol-dependencies	G7 closure; G8 does not reopen this boundary	false	G7-RETAIN-DEPENDENCY	retained
dependency:tools/qf-read-tools/package.json#dependencies#qf-kernel	g7-dependency	file:../../packages/qf-kernel	retained declaration root or accepted removed closure	G7 accepted disposition and compatibility closure	golden-g7-protocol-dependencies	G7 closure; G8 does not reopen this boundary	false	G7-RETAIN-DEPENDENCY	retained
dependency:tools/qf-read-tools/package.json#dependencies#qf-kernel-schema	g7-dependency	file:../../qf-kernel-schema	retained declaration root or accepted removed closure	G7 accepted disposition and compatibility closure	golden-g7-protocol-dependencies	G7 closure; G8 does not reopen this boundary	false	G7-RETAIN-DEPENDENCY	retained
dependency:tools/qf-read-tools/package.json#dependencies#zod	g7-dependency	^4.4.3	retained declaration root or accepted removed closure	G7 accepted disposition and compatibility closure	golden-g7-protocol-dependencies	G7 closure; G8 does not reopen this boundary	false	G7-RETAIN-DEPENDENCY	retained
dependency:tools/qf-read-tools/package.json#devDependencies#@types/bun	g7-dependency	^1.3.14	retained declaration root or accepted removed closure	G7 accepted disposition and compatibility closure	golden-g7-protocol-dependencies	G7 closure; G8 does not reopen this boundary	false	G7-RETAIN-DEPENDENCY	retained
dependency:tools/qf-read-tools/package.json#devDependencies#typescript	g7-dependency	^5.9.3	retained declaration root or accepted removed closure	G7 accepted disposition and compatibility closure	golden-g7-protocol-dependencies	G7 closure; G8 does not reopen this boundary	false	G7-RETAIN-DEPENDENCY	retained
dependency:tools/qf-vault-projection/package.json#dependencies#qf-kernel	g7-dependency	file:../../packages/qf-kernel	retained declaration root or accepted removed closure	G7 accepted disposition and compatibility closure	golden-g7-protocol-dependencies	G7 closure; G8 does not reopen this boundary	false	G7-RETAIN-DEPENDENCY	retained
dependency:tools/qf-vault-projection/package.json#dependencies#qf-kernel-schema	g7-dependency	file:../../qf-kernel-schema	retained declaration root or accepted removed closure	G7 accepted disposition and compatibility closure	golden-g7-protocol-dependencies	G7 closure; G8 does not reopen this boundary	false	G7-RETAIN-DEPENDENCY	retained
dependency:tools/qf-vault-projection/package.json#dependencies#zod	g7-dependency	^4.4.3	retained declaration root or accepted removed closure	G7 accepted disposition and compatibility closure	golden-g7-protocol-dependencies	G7 closure; G8 does not reopen this boundary	false	G7-RETAIN-DEPENDENCY	retained
dependency:tools/qf-vault-projection/package.json#devDependencies#@types/bun	g7-dependency	^1.3.14	retained declaration root or accepted removed closure	G7 accepted disposition and compatibility closure	golden-g7-protocol-dependencies	G7 closure; G8 does not reopen this boundary	false	G7-RETAIN-DEPENDENCY	retained
dependency:tools/qf-vault-projection/package.json#devDependencies#typescript	g7-dependency	^5.9.3	retained declaration root or accepted removed closure	G7 accepted disposition and compatibility closure	golden-g7-protocol-dependencies	G7 closure; G8 does not reopen this boundary	false	G7-RETAIN-DEPENDENCY	retained
manifest:collab-electron/package.json	manifest	collab-electron/package.json	current G7 package boundary consumer	manifest identity and local dependency closure unchanged	golden-g7-protocol-dependencies manifests=20	G12 owns native package qualification	false	G8-retain-current-manifest	retained
manifest:collab-electron/packages/components/package.json	manifest	collab-electron/packages/components/package.json	current G7 package boundary consumer	manifest identity and local dependency closure unchanged	golden-g7-protocol-dependencies manifests=20	G12 owns native package qualification	false	G8-retain-current-manifest	retained
manifest:collab-electron/packages/shared/package.json	manifest	collab-electron/packages/shared/package.json	current G7 package boundary consumer	manifest identity and local dependency closure unchanged	golden-g7-protocol-dependencies manifests=20	G12 owns native package qualification	false	G8-retain-current-manifest	retained
manifest:collab-electron/packages/theme/package.json	manifest	collab-electron/packages/theme/package.json	current G7 package boundary consumer	manifest identity and local dependency closure unchanged	golden-g7-protocol-dependencies manifests=20	G12 owns native package qualification	false	G8-retain-current-manifest	retained
manifest:packages/qf-kernel/package.json	manifest	packages/qf-kernel/package.json	current G7 package boundary consumer	manifest identity and local dependency closure unchanged	golden-g7-protocol-dependencies manifests=20	G12 owns native package qualification	false	G8-retain-current-manifest	retained
manifest:qf-kernel-schema/package.json	manifest	qf-kernel-schema/package.json	current G7 package boundary consumer	manifest identity and local dependency closure unchanged	golden-g7-protocol-dependencies manifests=20	G12 owns native package qualification	false	G8-retain-current-manifest	retained
manifest:species/hermes/package.json	manifest	species/hermes/package.json	current G7 package boundary consumer	manifest identity and local dependency closure unchanged	golden-g7-protocol-dependencies manifests=20	G12 owns native package qualification	false	G8-retain-current-manifest	retained
manifest:species/hermes/agent-package/package.json	manifest	species/hermes/agent-package/package.json	current G7 package boundary consumer	manifest identity and local dependency closure unchanged	golden-g7-protocol-dependencies manifests=20	G12 owns native package qualification	false	G8-retain-current-manifest	retained
manifest:tools/qf-bovada-football/package.json	manifest	tools/qf-bovada-football/package.json	current G7 package boundary consumer	manifest identity and local dependency closure unchanged	golden-g7-protocol-dependencies manifests=20	G12 owns native package qualification	false	G8-retain-current-manifest	retained
manifest:tools/qf-proof-agent/package.json	manifest	tools/qf-proof-agent/package.json	current G7 package boundary consumer	manifest identity and local dependency closure unchanged	golden-g7-protocol-dependencies manifests=20	G12 owns native package qualification	false	G8-retain-current-manifest	retained
manifest:tools/qf-read-tools/package.json	manifest	tools/qf-read-tools/package.json	current G7 package boundary consumer	manifest identity and local dependency closure unchanged	golden-g7-protocol-dependencies manifests=20	G12 owns native package qualification	false	G8-retain-current-manifest	retained
manifest:tools/qf-vault-projection/package.json	manifest	tools/qf-vault-projection/package.json	current G7 package boundary consumer	manifest identity and local dependency closure unchanged	golden-g7-protocol-dependencies manifests=20	G12 owns native package qualification	false	G8-retain-current-manifest	retained
manifest:qa/fixtures/lifecycle-command/package.json	manifest	qa/fixtures/lifecycle-command/package.json	current G7 package boundary consumer	manifest identity and local dependency closure unchanged	golden-g7-protocol-dependencies manifests=20	G12 owns native package qualification	false	G8-retain-current-manifest	retained
manifest:qa/gates/artifact-root/package.json	manifest	qa/gates/artifact-root/package.json	current G7 package boundary consumer	manifest identity and local dependency closure unchanged	golden-g7-protocol-dependencies manifests=20	G12 owns native package qualification	false	G8-retain-current-manifest	retained
manifest:qa/gates/boot-reconcile/package.json	manifest	qa/gates/boot-reconcile/package.json	current G7 package boundary consumer	manifest identity and local dependency closure unchanged	golden-g7-protocol-dependencies manifests=20	G12 owns native package qualification	false	G8-retain-current-manifest	retained
manifest:qa/gates/bovada-football/package.json	manifest	qa/gates/bovada-football/package.json	current G7 package boundary consumer	manifest identity and local dependency closure unchanged	golden-g7-protocol-dependencies manifests=20	G12 owns native package qualification	false	G8-retain-current-manifest	retained
manifest:qa/gates/dock-definition-launch/package.json	manifest	qa/gates/dock-definition-launch/package.json	current G7 package boundary consumer	manifest identity and local dependency closure unchanged	golden-g7-protocol-dependencies manifests=20	G12 owns native package qualification	false	G8-retain-current-manifest	retained
manifest:qa/gates/dock-profile-identity/package.json	manifest	qa/gates/dock-profile-identity/package.json	current G7 package boundary consumer	manifest identity and local dependency closure unchanged	golden-g7-protocol-dependencies manifests=20	G12 owns native package qualification	false	G8-retain-current-manifest	retained
manifest:qa/gates/kernel-drift/package.json	manifest	qa/gates/kernel-drift/package.json	current G7 package boundary consumer	manifest identity and local dependency closure unchanged	golden-g7-protocol-dependencies manifests=20	G12 owns native package qualification	false	G8-retain-current-manifest	retained
manifest:qa/gates/market-ingest/package.json	manifest	qa/gates/market-ingest/package.json	current G7 package boundary consumer	manifest identity and local dependency closure unchanged	golden-g7-protocol-dependencies manifests=20	G12 owns native package qualification	false	G8-retain-current-manifest	retained
lock:collab-electron/bun.lock	lock-root	collab-electron/bun.lock	current Bun importer/package root	accepted G7 lock closure and surviving package identity	golden-g7-protocol-dependencies lockRoots=15	G12 owns native packaging pins and full qualification	false	G8-retain-current-lock-root	retained
lock:packages/qf-kernel/bun.lock	lock-root	packages/qf-kernel/bun.lock	current Bun importer/package root	accepted G7 lock closure and surviving package identity	golden-g7-protocol-dependencies lockRoots=15	G12 owns native packaging pins and full qualification	false	G8-retain-current-lock-root	retained
lock:qf-kernel-schema/bun.lock	lock-root	qf-kernel-schema/bun.lock	current Bun importer/package root	accepted G7 lock closure and surviving package identity	golden-g7-protocol-dependencies lockRoots=15	G12 owns native packaging pins and full qualification	false	G8-retain-current-lock-root	retained
lock:species/hermes/bun.lock	lock-root	species/hermes/bun.lock	current Bun importer/package root	accepted G7 lock closure and surviving package identity	golden-g7-protocol-dependencies lockRoots=15	G12 owns native packaging pins and full qualification	false	G8-retain-current-lock-root	retained
lock:tools/qf-bovada-football/bun.lock	lock-root	tools/qf-bovada-football/bun.lock	current Bun importer/package root	accepted G7 lock closure and surviving package identity	golden-g7-protocol-dependencies lockRoots=15	G12 owns native packaging pins and full qualification	false	G8-retain-current-lock-root	retained
lock:tools/qf-read-tools/bun.lock	lock-root	tools/qf-read-tools/bun.lock	current Bun importer/package root	accepted G7 lock closure and surviving package identity	golden-g7-protocol-dependencies lockRoots=15	G12 owns native packaging pins and full qualification	false	G8-retain-current-lock-root	retained
lock:tools/qf-vault-projection/bun.lock	lock-root	tools/qf-vault-projection/bun.lock	current Bun importer/package root	accepted G7 lock closure and surviving package identity	golden-g7-protocol-dependencies lockRoots=15	G12 owns native packaging pins and full qualification	false	G8-retain-current-lock-root	retained
lock:qa/fixtures/lifecycle-command/bun.lock	lock-root	qa/fixtures/lifecycle-command/bun.lock	current Bun importer/package root	accepted G7 lock closure and surviving package identity	golden-g7-protocol-dependencies lockRoots=15	G12 owns native packaging pins and full qualification	false	G8-retain-current-lock-root	retained
lock:qa/gates/artifact-root/bun.lock	lock-root	qa/gates/artifact-root/bun.lock	current Bun importer/package root	accepted G7 lock closure and surviving package identity	golden-g7-protocol-dependencies lockRoots=15	G12 owns native packaging pins and full qualification	false	G8-retain-current-lock-root	retained
lock:qa/gates/boot-reconcile/bun.lock	lock-root	qa/gates/boot-reconcile/bun.lock	current Bun importer/package root	accepted G7 lock closure and surviving package identity	golden-g7-protocol-dependencies lockRoots=15	G12 owns native packaging pins and full qualification	false	G8-retain-current-lock-root	retained
lock:qa/gates/bovada-football/bun.lock	lock-root	qa/gates/bovada-football/bun.lock	current Bun importer/package root	accepted G7 lock closure and surviving package identity	golden-g7-protocol-dependencies lockRoots=15	G12 owns native packaging pins and full qualification	false	G8-retain-current-lock-root	retained
lock:qa/gates/dock-definition-launch/bun.lock	lock-root	qa/gates/dock-definition-launch/bun.lock	current Bun importer/package root	accepted G7 lock closure and surviving package identity	golden-g7-protocol-dependencies lockRoots=15	G12 owns native packaging pins and full qualification	false	G8-retain-current-lock-root	retained
lock:qa/gates/dock-profile-identity/bun.lock	lock-root	qa/gates/dock-profile-identity/bun.lock	current Bun importer/package root	accepted G7 lock closure and surviving package identity	golden-g7-protocol-dependencies lockRoots=15	G12 owns native packaging pins and full qualification	false	G8-retain-current-lock-root	retained
lock:qa/gates/kernel-drift/bun.lock	lock-root	qa/gates/kernel-drift/bun.lock	current Bun importer/package root	accepted G7 lock closure and surviving package identity	golden-g7-protocol-dependencies lockRoots=15	G12 owns native packaging pins and full qualification	false	G8-retain-current-lock-root	retained
lock:qa/gates/market-ingest/bun.lock	lock-root	qa/gates/market-ingest/bun.lock	current Bun importer/package root	accepted G7 lock closure and surviving package identity	golden-g7-protocol-dependencies lockRoots=15	G12 owns native packaging pins and full qualification	false	G8-retain-current-lock-root	retained
K1-01	kernel-one-path	packages/qf-kernel/src/r11a-deterministic-execution.test.ts	disposable fixture or isolated QA configuration; K1-04 remains virtual bait only	offender literal/config neutralized without changing supported child/env boundary	golden-g8-kernel-proof exact K1 red/restore-green	future reintroduction requires a reauthorized isolated fixture	true	G8-K1-red-green	removed
K1-02	kernel-one-path	qa/gates/dev-dock-readiness.ts	disposable fixture or isolated QA configuration; K1-04 remains virtual bait only	offender literal/config neutralized without changing supported child/env boundary	golden-g8-kernel-proof exact K1 red/restore-green	future reintroduction requires a reauthorized isolated fixture	true	G8-K1-red-green	removed
K1-03	kernel-one-path	qa/gates/founder-steering.ts	disposable fixture or isolated QA configuration; K1-04 remains virtual bait only	offender literal/config neutralized without changing supported child/env boundary	golden-g8-kernel-proof exact K1 red/restore-green	future reintroduction requires a reauthorized isolated fixture	true	G8-K1-red-green	removed
K1-04	kernel-one-path	qa/gates/kernel-sole-writer-app.ts	disposable fixture or isolated QA configuration; K1-04 remains virtual bait only	offender literal/config neutralized without changing supported child/env boundary	golden-g8-kernel-proof exact K1 red/restore-green	future reintroduction requires a reauthorized isolated fixture	true	G8-K1-red-green	removed
K1-05	kernel-one-path	qa/gates/pre-r18-coherence.ts	disposable fixture or isolated QA configuration; K1-04 remains virtual bait only	offender literal/config neutralized without changing supported child/env boundary	golden-g8-kernel-proof exact K1 red/restore-green	future reintroduction requires a reauthorized isolated fixture	true	G8-K1-red-green	removed
K1-06	kernel-one-path	qa/gates/r17-founder-kernel-compatibility.ts	disposable fixture or isolated QA configuration; K1-04 remains virtual bait only	offender literal/config neutralized without changing supported child/env boundary	golden-g8-kernel-proof exact K1 red/restore-green	future reintroduction requires a reauthorized isolated fixture	true	G8-K1-red-green	removed
K1-07	kernel-one-path	qa/gates/r17-guided-technique-consumer.ts	disposable fixture or isolated QA configuration; K1-04 remains virtual bait only	offender literal/config neutralized without changing supported child/env boundary	golden-g8-kernel-proof exact K1 red/restore-green	future reintroduction requires a reauthorized isolated fixture	true	G8-K1-red-green	removed
K1-08	kernel-one-path	qa/gates/research-director-delegation.ts	disposable fixture or isolated QA configuration; K1-04 remains virtual bait only	offender literal/config neutralized without changing supported child/env boundary	golden-g8-kernel-proof exact K1 red/restore-green	future reintroduction requires a reauthorized isolated fixture	true	G8-K1-red-green	removed
K1-09	kernel-one-path	qa/gates/research-director-front-door.ts	disposable fixture or isolated QA configuration; K1-04 remains virtual bait only	offender literal/config neutralized without changing supported child/env boundary	golden-g8-kernel-proof exact K1 red/restore-green	future reintroduction requires a reauthorized isolated fixture	true	G8-K1-red-green	removed
K1-10	kernel-one-path	qa/gates/research-world-visible.ts	disposable fixture or isolated QA configuration; K1-04 remains virtual bait only	offender literal/config neutralized without changing supported child/env boundary	golden-g8-kernel-proof exact K1 red/restore-green	future reintroduction requires a reauthorized isolated fixture	true	G8-K1-red-green	removed
K1-11	kernel-one-path	qa/gates/team-composition-ui.ts	disposable fixture or isolated QA configuration; K1-04 remains virtual bait only	offender literal/config neutralized without changing supported child/env boundary	golden-g8-kernel-proof exact K1 red/restore-green	future reintroduction requires a reauthorized isolated fixture	true	G8-K1-red-green	removed
K1-12	kernel-one-path	qa/gates/team-composition.ts	disposable fixture or isolated QA configuration; K1-04 remains virtual bait only	offender literal/config neutralized without changing supported child/env boundary	golden-g8-kernel-proof exact K1 red/restore-green	future reintroduction requires a reauthorized isolated fixture	true	G8-K1-red-green	removed
K1-13	kernel-one-path	qa/gates/technique-outcome-loop.ts	disposable fixture or isolated QA configuration; K1-04 remains virtual bait only	offender literal/config neutralized without changing supported child/env boundary	golden-g8-kernel-proof exact K1 red/restore-green	future reintroduction requires a reauthorized isolated fixture	true	G8-K1-red-green	removed
lifecycle:object:competitor	lifecycle	object:competitor	current schema object declaration remains consumer-visible ontology	exact identity, generated agreement, lifecycle experimental	golden-g8-schema-lifecycle exact=89 plus promotion red/restore-green	no promotion authorized; later schema order only	false	G8-LIFECYCLE-RETAIN-EXPERIMENTAL	retained
lifecycle:object:market_event	lifecycle	object:market_event	current schema object declaration remains consumer-visible ontology	exact identity, generated agreement, lifecycle experimental	golden-g8-schema-lifecycle exact=89 plus promotion red/restore-green	no promotion authorized; later schema order only	false	G8-LIFECYCLE-RETAIN-EXPERIMENTAL	retained
lifecycle:object:instrument	lifecycle	object:instrument	current schema object declaration remains consumer-visible ontology	exact identity, generated agreement, lifecycle experimental	golden-g8-schema-lifecycle exact=89 plus promotion red/restore-green	no promotion authorized; later schema order only	false	G8-LIFECYCLE-RETAIN-EXPERIMENTAL	retained
